Andaman And Nicobar,7.0000167,93.8110528187756
Andhra Pradesh,15.9240905,80.1863809
Arunachal Pradesh,28.0937702,94.5921326
Assam,26.4073841,93.2551303
Bihar,25.6440845,85.906508
Chandigarh,30.72984395,76.78414567016054
Chhattisgarh,21.6637359,81.8406351
Dadra And Nagar Haveli,20.2733946,73.0044983
Daman And Diu,20.718174949999998,70.93238341010638
Delhi,28.6517178,77.2219388
Goa,15.3004543,74.0855134
Gujarat,22.3850051,71.745261
Haryana,29.0,76.0
Himachal Pradesh,31.81676015,77.34932051968858
Jammu And Kashmir,33.6649297,75.1629584
Jharkhand,23.4559809,85.2557301
Karnataka,14.5203896,75.7223521
Kerala,10.3528744,76.5120396
Madhya Pradesh,23.8143419,77.5340719
Maharashtra,18.9068356,75.6741579
Manipur,24.7208818,93.9229386
Meghalaya,25.5379432,91.2999102
Mizoram,23.2146169,92.8687612
Nagaland,26.1630556,94.5884911
Odisha,20.5431241,84.6897321
Puducherry,10.91564885,79.80694879844232
Punjab,30.9293211,75.5004841
Rajasthan,26.8105777,73.7684549
Sikkim,27.601029,88.45413638680145
Tamil Nadu,10.9094334,78.3665347
Telangana,17.8495919,79.1151663
Tripura,23.7750823,91.7025091
Uttar Pradesh,27.1303344,80.859666
Uttarakhand,30.0417376,79.089691
West Bengal,22.9964948,87.6855882
